,SH_510050IV
2018-04-24,23.382
2018-04-25,23.0588
2018-04-26,23.2082
2018-04-27,24.022
2018-05-02,25.6961
2018-05-03,25.9119
2018-05-04,26.1718
2018-05-07,26.0251
2018-05-08,24.8387
2018-05-09,24.302
2018-05-10,22.9204
2018-05-11,22.4708
2018-05-14,21.1306
2018-05-15,20.134
2018-05-16,20.7262
2018-05-17,19.1002
2018-05-18,18.6916
2018-05-21,18.3768
2018-05-22,18.1576
2018-05-23,19.0472
2018-05-24,18.2155
2018-05-25,18.1618
2018-05-28,18.7327
2018-05-29,18.8294
2018-05-30,21.6609
2018-05-31,20.5013
2018-06-01,20.6126
2018-06-04,19.8608
2018-06-05,19.3144
2018-06-06,19.2297
2018-06-07,18.6712
2018-06-08,19.6238
2018-06-11,20.3606
2018-06-12,19.4021
2018-06-13,19.6322
2018-06-14,20.0683
2018-06-15,20.5601
2018-06-19,24.1437
2018-06-20,21.5984
2018-06-21,20.2735
2018-06-22,19.9598
2018-06-25,21.1045
2018-06-26,21.5124
2018-06-27,23.2076
2018-06-28,23.7192
2018-06-29,21.989
2018-07-02,25.6946
2018-07-03,26.5119
2018-07-04,27.113000000000003
2018-07-05,27.4071
2018-07-06,26.4136
2018-07-09,23.833
2018-07-10,23.7524
2018-07-11,25.81
2018-07-12,24.2673
2018-07-13,24.0482
2018-07-16,23.8628
2018-07-17,23.4138
2018-07-18,22.6242
2018-07-19,21.6462
2018-07-20,21.4975
2018-07-23,22.7476
2018-07-24,23.9952
2018-07-25,24.2272
2018-07-26,23.3943
2018-07-27,22.3553
2018-07-30,22.7134
2018-07-31,22.6314
2018-08-01,24.406
2018-08-02,25.3845
2018-08-03,25.4651
2018-08-06,26.2745
2018-08-07,25.7696
2018-08-08,26.026
2018-08-09,25.9614
2018-08-10,25.1984
2018-08-13,25.9208
2018-08-14,25.8194
2018-08-15,26.5651
2018-08-16,26.3323
2018-08-17,26.4612
2018-08-20,26.9487
2018-08-21,24.5176
2018-08-22,23.5588
2018-08-23,22.5388
2018-08-24,22.4179
2018-08-27,22.5975
2018-08-28,22.5518
2018-08-29,22.9154
2018-08-30,23.1044
2018-08-31,22.894
2018-09-03,23.4601
2018-09-04,22.6744
2018-09-05,23.9129
2018-09-06,24.1707
2018-09-07,24.0907
2018-09-10,24.9465
2018-09-11,24.4863
2018-09-12,24.4363
