,510800
2021-04-23,1.4337
2021-04-26,1.4112
2021-04-27,1.4146
2021-04-28,1.4134
2021-04-29,1.4315
2021-04-30,1.4208
2021-05-06,1.4042
2021-05-07,1.3866
2021-05-10,1.3841
2021-05-11,1.3996
2021-05-12,1.4039
2021-05-13,1.3904
2021-05-14,1.4265
2021-05-17,1.4424
2021-05-18,1.4418
2021-05-19,1.4316
2021-05-20,1.4369999999999998
2021-05-21,1.4213
2021-05-24,1.4278
2021-05-25,1.4857
2021-05-26,1.4921
2021-05-27,1.4952
2021-05-28,1.4935
2021-05-31,1.4898
2021-06-01,1.4901
2021-06-02,1.4786
2021-06-03,1.4661
2021-06-04,1.4748
2021-06-07,1.47
2021-06-08,1.4632
2021-06-09,1.4665
2021-06-10,1.4748
2021-06-11,1.4635
2021-06-15,1.443
2021-06-16,1.4265
2021-06-17,1.4266
2021-06-18,1.4158
2021-06-21,1.4068
2021-06-22,1.4206
2021-06-23,1.425
2021-06-24,1.4308
2021-06-25,1.4544
2021-06-28,1.4489
2021-06-29,1.4355
2021-06-30,1.4444
2021-07-01,1.4594
2021-07-02,1.4074
2021-07-05,1.4059
2021-07-06,1.4079
2021-07-07,1.4158
2021-07-08,1.395
2021-07-09,1.3911
2021-07-12,1.4016
2021-07-13,1.4076
2021-07-14,1.3862
2021-07-15,1.4164
2021-07-16,1.3994
2021-07-19,1.4058
2021-07-20,1.403
2021-07-21,1.4087
2021-07-22,1.412
2021-07-23,1.3976
2021-07-26,1.3445
2021-07-27,1.3027
2021-07-28,1.3144
2021-07-29,1.3267
2021-07-30,1.3069
2021-08-02,1.3393
2021-08-03,1.3444
2021-08-04,1.3483
2021-08-05,1.347
2021-08-06,1.3352
2021-08-09,1.3515
2021-08-10,1.3736
2021-08-11,1.3638
2021-08-12,1.3487
2021-08-13,1.3455
2021-08-16,1.3493
2021-08-17,1.3195
2021-08-18,1.3371
2021-08-19,1.3181
2021-08-20,1.2895
2021-08-23,1.3015
2021-08-24,1.3214
2021-08-25,1.3264
2021-08-26,1.297
2021-08-27,1.3112
2021-08-30,1.3069
2021-08-31,1.3006
2021-09-01,1.3291
2021-09-02,1.33
2021-09-03,1.3335
2021-09-06,1.3483
2021-09-07,1.3641
2021-09-08,1.3497
2021-09-09,1.3461
2021-09-10,1.3662
2021-09-13,1.362
2021-09-14,1.3401
2021-09-15,1.3227
2021-09-16,1.3151
2021-09-17,1.3297
2021-09-22,1.3131
2021-09-23,1.3153
2021-09-24,1.3224
2021-09-27,1.345
2021-09-28,1.3496
2021-09-29,1.3445
2021-09-30,1.3436
2021-10-08,1.3682
2021-10-11,1.3765
2021-10-12,1.3693
2021-10-13,1.3833
2021-10-14,1.3741
2021-10-15,1.3847
2021-10-18,1.3575
2021-10-19,1.3689
2021-10-20,1.3682
2021-10-21,1.378
2021-10-22,1.3944
2021-10-25,1.3937
2021-10-26,1.3843
2021-10-27,1.3664
2021-10-28,1.3630000000000002
2021-10-29,1.3745
2021-11-01,1.3678
2021-11-02,1.3516
2021-11-03,1.3389
2021-11-04,1.3497
2021-11-05,1.3473
2021-11-08,1.3451
2021-11-09,1.3412
2021-11-10,1.3342
2021-11-11,1.3605
2021-11-12,1.3559
2021-11-15,1.3567
2021-11-16,1.3568
2021-11-17,1.3514
2021-11-18,1.3372
2021-11-19,1.3536
2021-11-22,1.3534
2021-11-23,1.3583
2021-11-24,1.3615
2021-11-25,1.3558
2021-11-26,1.3436
2021-11-29,1.3439
2021-11-30,1.3348
2021-12-01,1.3417
2021-12-02,1.346
2021-12-03,1.3587
2021-12-06,1.3613
2021-12-07,1.3721
2021-12-08,1.3931
2021-12-09,1.4161
2021-12-10,1.4136
2021-12-13,1.4159
2021-12-14,1.4089
2021-12-15,1.3951
2021-12-16,1.4
2021-12-17,1.3784
2021-12-20,1.3686
2021-12-21,1.376
2021-12-22,1.3708
2021-12-23,1.3817
2021-12-24,1.383
2021-12-27,1.3781
2021-12-28,1.3886
2021-12-29,1.3628
2021-12-30,1.3714
2021-12-31,1.3766
2022-01-04,1.3721
2022-01-05,1.3678
2022-01-06,1.3496
2022-01-07,1.3546
2022-01-10,1.3599
2022-01-11,1.351
2022-01-12,1.3601
2022-01-13,1.3385
2022-01-14,1.3195
2022-01-17,1.3232
2022-01-18,1.3396
2022-01-19,1.3393
2022-01-20,1.3584
2022-01-21,1.3523
2022-01-24,1.3485
2022-01-25,1.3215
2022-01-26,1.3298
2022-01-27,1.3113
2022-01-28,1.284
2022-02-07,1.3087
2022-02-08,1.3095
2022-02-09,1.3191
2022-02-10,1.3213
2022-02-11,1.3203
2022-02-14,1.3042
2022-02-15,1.3109
2022-02-16,1.3176
2022-02-17,1.3189
2022-02-18,1.3287
2022-02-21,1.3212
2022-02-22,1.3034
2022-02-23,1.3101
2022-02-24,1.2857
2022-02-25,1.2925
2022-02-28,1.2946
2022-03-01,1.3133
2022-03-02,1.3056
2022-03-03,1.3013
2022-03-04,1.2867
2022-03-07,1.2501
2022-03-08,1.2328
2022-03-09,1.2219
2022-03-10,1.2328
2022-03-11,1.2336
2022-03-14,1.1986
2022-03-15,1.1366
2022-03-16,1.1885
2022-03-17,1.2091
2022-03-18,1.2242
2022-03-21,1.2155
2022-03-22,1.2191
2022-03-23,1.2256
2022-03-24,1.2202
2022-03-25,1.2006
2022-03-28,1.1991
2022-03-29,1.1945
2022-03-30,1.225
2022-03-31,1.2181
2022-04-01,1.2364
2022-04-06,1.2314
2022-04-07,1.2195
2022-04-08,1.2286
2022-04-11,1.1956
2022-04-12,1.2152
2022-04-13,1.2102
2022-04-14,1.2293
2022-04-15,1.23
2022-04-18,1.2123
2022-04-19,1.2014
2022-04-20,1.1906
2022-04-21,1.1753
2022-04-22,1.1824
2022-04-25,1.1277
2022-04-26,1.1266
2022-04-27,1.1492
2022-04-28,1.1638
2022-04-29,1.1797
2022-05-05,1.1777
2022-05-06,1.144
2022-05-09,1.1338
2022-05-10,1.1433
2022-05-11,1.153
2022-05-12,1.1447
2022-05-13,1.1557
2022-05-16,1.1442
2022-05-17,1.1594
2022-05-18,1.1548
2022-05-19,1.1543
2022-05-20,1.1808
2022-05-23,1.1702
2022-05-24,1.1498
2022-05-25,1.1538
2022-05-26,1.1545
2022-05-27,1.1624
2022-05-30,1.1694
2022-05-31,1.1840000000000002
2022-06-01,1.1784
2022-06-02,1.1753
2022-06-06,1.1909
2022-06-07,1.1995
2022-06-08,1.2143
2022-06-09,1.2096
2022-06-10,1.2246
2022-06-13,1.2009
2022-06-14,1.2168
2022-06-15,1.2336
2022-06-16,1.2226
2022-06-17,1.2414
2022-06-20,1.2391
2022-06-21,1.2417
2022-06-22,1.2276
2022-06-23,1.2461
2022-06-24,1.2623
2022-06-27,1.2787
2022-06-28,1.2899
2022-06-29,1.2774
2022-06-30,1.3013
2022-07-01,1.2959
2022-07-04,1.2979
