,margin_balance,short_balance
2016-04-27,865022000000.0,2492671574.0
2016-04-28,864393000000.0,2498692904.0
2016-04-29,857037000000.0,2402193023.0
2016-05-03,865670000000.0,2457531271.0
2016-05-04,866691000000.0,2449336333.0
2016-05-05,869323000000.0,2393988454.0
2016-05-06,857945000000.0,2331718897.0
2016-05-09,852116000000.0,2306825366.0
2016-05-10,846142000000.0,2342904093.0
2016-05-11,841204000000.0,2401294387.0
2016-05-12,838039000000.0,2495194408.0
2016-05-13,832892000000.0,2339284661.0
2016-05-16,834341000000.0,2355005321.0
2016-05-17,832979000000.0,2384299539.0
2016-05-18,826014000000.0,2376252094.0
2016-05-19,826725000000.0,2236470892.0
2016-05-20,824597000000.0,2200659712.0
2016-05-23,824608000000.0,2223105719.0
2016-05-24,824732000000.0,2285526686.0
2016-05-25,823323000000.0,2309845806.0
2016-05-26,823336000000.0,2341222596.0
2016-05-27,820232000000.0,2176427597.0
2016-05-30,818634000000.0,2273369319.0
2016-05-31,826982000000.0,2282882508.0
2016-06-01,829899000000.0,2240313544.0
2016-06-02,835302000000.0,2282450541.0
2016-06-03,833743000000.0,2290599468.0
2016-06-06,836714000000.0,2303839511.0
2016-06-07,838278000000.0,2361606217.0
2016-06-08,834621000000.0,2561372300.0
2016-06-13,830979000000.0,2216462770.0
2016-06-14,828739000000.0,2599267423.0
2016-06-15,836738000000.0,2530231193.0
2016-06-16,836261000000.0,2367550656.0
2016-06-17,834084000000.0,2299382461.0
2016-06-20,835967000000.0,2429874522.0
2016-06-21,834527000000.0,2472587712.0
2016-06-22,837399000000.0,2411671166.0
2016-06-23,836891000000.0,2574331089.0
2016-06-24,835031000000.0,2433337061.0
2016-06-27,842317000000.0,2569372295.0
2016-06-28,845911000000.0,2594490083.0
2016-06-29,849838000000.0,2680476159.0
2016-06-30,850893000000.0,2690454741.0
2016-07-01,848374000000.0,2677248955.0
2016-07-04,856923000000.0,2877696874.0
2016-07-05,860226000000.0,3066881769.0
2016-07-06,863368000000.0,3119911875.0
2016-07-07,866981000000.0,3186574368.0
2016-07-08,863235000000.0,3072378301.0
2016-07-11,865182000000.0,3168181746.0
2016-07-12,870054000000.0,3287742594.0
2016-07-13,872239000000.0,3103802501.0
2016-07-14,873770000000.0,3109196907.0
2016-07-15,872107000000.0,2990088061.0
2016-07-18,876355000000.0,3084754948.0
2016-07-19,881202000000.0,3089989443.0
2016-07-20,882197000000.0,3178903282.0
2016-07-21,882963000000.0,3312628559.0
2016-07-22,880275000000.0,3118769433.0
2016-07-25,882315000000.0,3088771018.0
2016-07-26,884151000000.0,3296059362.0
2016-07-27,872600000000.0,3302384281.0
2016-07-28,868766000000.0,3299492125.0
2016-07-29,863729000000.0,3162679462.0
2016-08-01,860118000000.0,3090976889.0
2016-08-02,859285000000.0,3129309444.0
2016-08-03,859287000000.0,3268552917.0
2016-08-04,860964000000.0,3338436091.0
2016-08-05,857968000000.0,3321636019.0
2016-08-08,861101000000.0,3463155828.0
2016-08-09,864081000000.0,3527732068.0
2016-08-10,867609000000.0,3616789531.0
2016-08-11,868105000000.0,3650582976.0
2016-08-12,865578000000.0,3544799560.0
2016-08-15,876546000000.0,3786336510.0
2016-08-16,886509000000.0,3647755755.0
2016-08-17,889828000000.0,3606451175.0
2016-08-18,894224000000.0,3575163533.0
2016-08-19,894045000000.0,3584943619.0
2016-08-22,895632000000.0,3627765956.0
2016-08-23,896181000000.0,3687986244.0
2016-08-24,897507000000.0,3622553818.0
2016-08-25,897692000000.0,3635274959.0
2016-08-26,895587000000.0,3473835172.0
2016-08-29,897808000000.0,3544701589.0
2016-08-30,897781000000.0,3796268020.0
2016-08-31,899715000000.0,3873750421.0
2016-09-01,899107000000.0,3913795816.0
2016-09-02,895567000000.0,3926496197.0
2016-09-05,896122000000.0,3810840511.0
2016-09-06,902386000000.0,3886888327.0
2016-09-07,902423000000.0,3975669940.0
2016-09-08,903858000000.0,3927264695.0
2016-09-09,900412000000.0,3832844403.0
2016-09-12,897137000000.0,3823123848.0
2016-09-13,896026000000.0,3663705040.0
2016-09-14,889644000000.0,3449919121.0
2016-09-19,892036000000.0,3822889801.0
2016-09-20,892873000000.0,3737406676.0
2016-09-21,893696000000.0,3773773859.0
2016-09-22,892187000000.0,3841293033.0
2016-09-23,888026000000.0,3712148898.0
2016-09-26,887227000000.0,3853135057.0
2016-09-27,886472000000.0,3841827033.0
2016-09-28,884973000000.0,3620067244.0
2016-09-29,882369000000.0,3429756111.0
2016-09-30,868666000000.0,3113569924.0
2016-10-10,878411000000.0,3374796395.0
2016-10-11,882897000000.0,3728346246.0
2016-10-12,887418000000.0,3657129122.0
2016-10-13,890403000000.0,4019835222.0
2016-10-14,889678000000.0,3923830502.0
2016-10-17,891795000000.0,3885534044.0
2016-10-18,897469000000.0,3912285541.0
2016-10-19,899130000000.0,3879230362.0
2016-10-20,900647000000.0,3892354648.0
2016-10-21,898316000000.0,3969427464.0
2016-10-24,904645000000.0,4130266302.0
2016-10-25,908413000000.0,3995382307.0
2016-10-26,910561000000.0,4140314568.0
2016-10-27,912308000000.0,3961399799.0
2016-10-28,905821000000.0,4032036553.0
2016-10-31,907700000000.0,3905475389.0
2016-11-01,910737000000.0,3973556273.0
2016-11-02,910141000000.0,3957171308.0
2016-11-03,916931000000.0,4215322660.0
2016-11-04,915112000000.0,3933962718.0
2016-11-07,917718000000.0,4076540556.0
2016-11-08,919069000000.0,4213912960.0
2016-11-09,922803000000.0,4103324941.0
2016-11-10,928552000000.0,4348038260.0
2016-11-11,928587000000.0,4322609915.0
2016-11-14,936793000000.0,4342933690.0
2016-11-15,941538000000.0,4433566103.0
2016-11-16,945467000000.0,4259683455.0
2016-11-17,945932000000.0,4463162678.0
2016-11-18,943906000000.0,4197417112.0
2016-11-21,950034000000.0,4353956430.0
2016-11-22,956413000000.0,4453832091.0
2016-11-23,956129000000.0,4488304312.0
2016-11-24,956632000000.0,4720603544.0
2016-11-25,955837000000.0,4479972944.0
2016-11-28,963755000000.0,4786819341.0
2016-11-29,966807000000.0,4748581807.0
2016-11-30,972186000000.0,4493500093.0
2016-12-01,969584000000.0,4771814131.0
2016-12-02,965121000000.0,4531268047.0
2016-12-05,963620000000.0,4360194144.0
2016-12-06,963671000000.0,4289824709.0
2016-12-07,965211000000.0,4410946221.0
2016-12-08,964924000000.0,4594743266.0
