,SH_510050SKEW
2019-07-11,97.8592
2019-07-12,97.9743
2019-07-15,96.8975
2019-07-16,96.8538
2019-07-17,97.1523
2019-07-18,93.6956
2019-07-19,93.9665
2019-07-22,94.8787
2019-07-23,94.327
2019-07-24,95.1373
2019-07-25,96.9633
2019-07-26,96.7879
2019-07-29,97.253
2019-07-30,98.3998
2019-07-31,97.9554
2019-08-01,98.2937
2019-08-02,97.1946
2019-08-05,96.0624
2019-08-06,97.7926
2019-08-07,99.3758
2019-08-08,100.6204
2019-08-09,100.9295
2019-08-12,100.7799
2019-08-13,101.1799
2019-08-14,101.1693
2019-08-15,100.4375
2019-08-16,101.3443
2019-08-19,102.0968
2019-08-20,102.5315
2019-08-21,104.282
2019-08-22,105.6945
2019-08-23,107.7105
2019-08-26,106.4267
2019-08-27,106.597
2019-08-28,105.7299
2019-08-29,105.2824
2019-08-30,105.0281
2019-09-02,104.293
2019-09-03,103.6718
2019-09-04,104.8188
2019-09-05,105.3421
2019-09-06,104.689
2019-09-09,103.7029
2019-09-10,103.9787
2019-09-11,103.1961
2019-09-12,102.1156
2019-09-16,103.8378
2019-09-17,101.9612
2019-09-18,102.7519
2019-09-19,98.5965
2019-09-20,98.5564
2019-09-23,98.1471
2019-09-24,98.8357
2019-09-25,98.1895
2019-09-26,98.1981
2019-09-27,97.9915
2019-09-30,96.4042
2019-10-08,98.6499
2019-10-09,98.2749
2019-10-10,97.4272
2019-10-11,99.9132
2019-10-14,95.1428
2019-10-15,94.7471
2019-10-16,107.3302
2019-10-17,97.1336
2019-10-18,97.5263
2019-10-21,98.4388
2019-10-22,98.4934
2019-10-23,96.8219
2019-10-24,98.7653
2019-10-25,98.4155
2019-10-28,98.7314
2019-10-29,99.4385
2019-10-30,98.3071
2019-10-31,99.4877
2019-11-01,96.9014
2019-11-04,99.0896
2019-11-05,99.8243
2019-11-06,99.8418
2019-11-07,99.9958
2019-11-08,98.2291
2019-11-11,100.8806
2019-11-12,100.7827
2019-11-13,100.4408
2019-11-14,101.1411
2019-11-15,101.3773
2019-11-18,105.6567
2019-11-19,105.3045
2019-11-20,103.4171
2019-11-21,102.6542
2019-11-22,100.8004
2019-11-25,104.0686
2019-11-26,103.4592
2019-11-27,102.7756
2019-11-28,100.8824
2019-11-29,98.6554
