,H00905
2018-08-24,5392.4816
2018-08-27,5512.7449
2018-08-28,5528.5165
2018-08-29,5492.7054
2018-08-30,5409.5258
2018-08-31,5351.3999
2018-09-03,5378.1294
2018-09-04,5435.266
2018-09-05,5351.6341
2018-09-06,5327.5281
2018-09-07,5325.7859
2018-09-10,5229.2018
2018-09-11,5227.0068
2018-09-12,5217.0828
2018-09-13,5247.356
2018-09-14,5190.9485
2018-09-17,5115.709
2018-09-18,5205.8715
2018-09-19,5265.2139
2018-09-20,5261.6931
2018-09-21,5341.4324
2018-09-25,5327.3548
2018-09-26,5353.3063
2018-09-27,5286.3289
2018-09-28,5336.7406
2018-10-08,5165.2840000000015
2018-10-09,5152.3899
2018-10-10,5146.8248
2018-10-11,4788.3538
2018-10-12,4755.8069
2018-10-15,4668.1152
2018-10-16,4557.5362
2018-10-17,4595.0
2018-10-18,4467.2437
2018-10-19,4588.9994
2018-10-22,4817.3287
2018-10-23,4728.8472
2018-10-24,4719.8779
2018-10-25,4707.5737
2018-10-26,4707.0597
2018-10-29,4627.6448
2018-10-30,4674.3567
2018-10-31,4749.9654
2018-11-01,4779.3508
2018-11-02,4933.8844
2018-11-05,4937.0883
2018-11-06,4934.0521
2018-11-07,4908.5258
2018-11-08,4872.0523
2018-11-09,4856.8054
2018-11-12,4982.5151
2018-11-13,5073.5085
2018-11-14,5053.728
2018-11-15,5136.3409999999985
2018-11-16,5180.0154
2018-11-19,5192.9574
2018-11-20,5044.7673
2018-11-21,5063.9186
2018-11-22,5060.1958
2018-11-23,4863.8931
2018-11-26,4855.7741
2018-11-27,4878.221
2018-11-28,4938.4869
2018-11-29,4831.5823
2018-11-30,4865.9906
2018-12-03,5020.0008
2018-12-04,5043.3898
2018-12-05,5006.1351
2018-12-06,4904.2783
2018-12-07,4904.1348
2018-12-10,4846.7132
2018-12-11,4887.0251
2018-12-12,4884.5278
2018-12-13,4939.9327
2018-12-14,4822.0203
2018-12-17,4814.8425
2018-12-18,4788.8496
2018-12-19,4722.8433
2018-12-20,4736.032
2018-12-21,4704.4431
2018-12-24,4752.8955
2018-12-25,4698.1815
2018-12-26,4679.1609
2018-12-27,4626.7531
2018-12-28,4634.4574
2019-01-02,4594.3404
2019-01-03,4573.0477
2019-01-04,4682.0939
2019-01-07,4768.4381
2019-01-08,4756.1769
2019-01-09,4768.9366
2019-01-10,4761.2518
2019-01-11,4797.9631
2019-01-14,4766.4632
2019-01-15,4834.0794
2019-01-16,4822.4286
2019-01-17,4785.5705
2019-01-18,4834.5861
2019-01-21,4863.2992
2019-01-22,4790.5977
2019-01-23,4798.8627
2019-01-24,4823.8655
2019-01-25,4801.9284
2019-01-28,4789.4499
2019-01-29,4730.5916
2019-01-30,4683.151
2019-01-31,4644.0661
2019-02-01,4775.05
2019-02-11,4895.8056
2019-02-12,4936.5236
2019-02-13,5017.6118
2019-02-14,5039.5853
2019-02-15,5006.8547
2019-02-18,5182.8379
2019-02-19,5189.8261
2019-02-20,5190.2049
2019-02-21,5180.7742
2019-02-22,5312.1573
2019-02-25,5609.1046
2019-02-26,5602.6517
2019-02-27,5579.6795
2019-02-28,5587.9159
2019-03-01,5634.5444
2019-03-04,5735.7567
2019-03-05,5888.1408
2019-03-06,5993.4895
2019-03-07,6069.7542
2019-03-08,5833.0011
2019-03-11,6067.2698
2019-03-12,6172.4854
2019-03-13,6032.2244
2019-03-14,5891.7153
2019-03-15,5958.9957
2019-03-18,6117.0877
2019-03-19,6140.4356
2019-03-20,6133.3253
2019-03-21,6215.2681
2019-03-22,6251.5871
2019-03-25,6171.0045
2019-03-26,5998.8818
2019-03-27,6057.8164
2019-03-28,5971.3898
2019-03-29,6168.7999
2019-04-01,6402.5147
2019-04-02,6422.2097
2019-04-03,6490.1538
2019-04-04,6529.6556
2019-04-08,6503.0459
2019-04-09,6514.6301
2019-04-10,6506.5281
2019-04-11,6369.0902
2019-04-12,6354.8475
2019-04-15,6289.9184
2019-04-16,6424.5122
2019-04-17,6458.7384
2019-04-18,6422.573
2019-04-19,6461.757
2019-04-22,6365.2025
2019-04-23,6261.2618
2019-04-24,6318.7375
2019-04-25,6072.6239
2019-04-26,6018.6233
2019-04-29,5860.1128
2019-04-30,5906.8091
2019-05-06,5463.1581
2019-05-07,5535.3011
2019-05-08,5509.5617
2019-05-09,5443.6564
2019-05-10,5639.6371
2019-05-13,5575.0309
2019-05-14,5531.0601
2019-05-15,5655.1921
2019-05-16,5691.5383
2019-05-17,5507.9034
2019-05-20,5486.736
2019-05-21,5583.8932
2019-05-22,5549.6161
2019-05-23,5435.3451
2019-05-24,5401.9637
2019-05-27,5537.8344
2019-05-28,5530.9312
2019-05-29,5533.4314
2019-05-30,5500.1869
2019-05-31,5486.4785
2019-06-03,5422.5398
2019-06-04,5357.9102
